external_id	msigdbr_id	db	gs_name	gs_description
GO:0042791	M29174	GO	GOBP_5S_CLASS_RRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_III	The synthesis of 5S ribosomal RNA (rRNA), or an equivalent rRNA, from a DNA template by RNA polymerase III (Pol III), originating at a type 1 RNA polymerase III promoter. [GOC:jl, GOC:txnOH, ISBN:0321000382, PMID:12381659]
GO:0009838	M22599	GO	GOBP_ABSCISSION	The controlled shedding of a body part. [ISBN:0140514031]
GO:1900619	M45940	GO	GOBP_ACETATE_ESTER_METABOLIC_PROCESS	The chemical reactions and pathways involving an acetate ester, any carboxylic ester where the carboxylic acid component is acetic acid. [GOC:TermGenie]
GO:1901374	M25001	GO	GOBP_ACETATE_ESTER_TRANSPORT	The directed movement of an acetate ester into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. [GOC:TermGenie]
GO:0061526	M45904	GO	GOBP_ACETYLCHOLINE_SECRETION	The regulated release of acetylcholine by a cell. [GOC:dph]
GO:0015800	M14313	GO	GOBP_ACIDIC_AMINO_ACID_TRANSPORT	The directed movement of acidic amino acids, amino acids with a pH below 7, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. [GOC:ai]
GO:0046717	M10367	GO	GOBP_ACID_SECRETION	The controlled release of acid by a cell or a tissue. [GOC:ai]
GO:0090425	M45917	GO	GOBP_ACINAR_CELL_DIFFERENTIATION	The epithelial cell differentiation process in which a relatively unspecialized cell acquires specialized features of an acinar cell, a secretory cell that is grouped together with other cells of the same type to form grape-shaped clusters known as acini. [GOC:dph, GOC:tb]
GO:0060478	M24169	GO	GOBP_ACROSOMAL_VESICLE_EXOCYTOSIS	The calcium ion regulated exocytosis which results in fusion of the acrosomal vesicle with the plasma membrane of the sperm as part of the acrosome reaction. [GOC:dph]
GO:0001675	M13681	GO	GOBP_ACROSOME_ASSEMBLY	The formation of the acrosome from the spermatid Golgi. [GOC:dph, GOC:hjd, GOC:tb]
GO:0007340	M14797	GO	GOBP_ACROSOME_REACTION	The discharge, by sperm, of a single, anterior secretory granule following the sperm's attachment to the zona pellucida of the oocyte. The process begins with the fusion of the outer acrosomal membrane with the sperm plasma membrane and ends with the exocytosis of the acrosomal contents into the zona pellucida. [GOC:dph, PMID:11175768, PMID:21042299, PMID:3886029]
GO:0051764	M24035	GO	GOBP_ACTIN_CROSSLINK_FORMATION	The process in which two or more actin filaments are connected together by proteins that act as crosslinks between the filaments. The crosslinked filaments may be on the same or differing axes. [GOC:ai]
GO:0061572	M10349	GO	GOBP_ACTIN_FILAMENT_BUNDLE_ORGANIZATION	A process that results in the assembly, arrangement of constituent parts, or disassembly of an actin filament bundle. [GOC:dph]
GO:0030042	M22944	GO	GOBP_ACTIN_FILAMENT_DEPOLYMERIZATION	Disassembly of actin filaments by the removal of actin monomers from a filament. [GOC:mah]
GO:0051639	M24019	GO	GOBP_ACTIN_FILAMENT_NETWORK_FORMATION	The assembly of a network of actin filaments; actin filaments on different axes and with differing orientations are crosslinked together to form a mesh of filaments. [GOC:ai]
GO:0007015	M13068	GO	GOBP_ACTIN_FILAMENT_ORGANIZATION	A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of cytoskeletal structures comprising actin filaments. Includes processes that control the spatial distribution of actin filaments, such as organizing filaments into meshworks, bundles, or other structures, as by cross-linking. [GOC:mah]
GO:0051014	M23936	GO	GOBP_ACTIN_FILAMENT_SEVERING	The process in which an actin filament is broken down into smaller filaments. [GOC:ai, PMID:14657234]
GO:0030047	M48400	GO	GOBP_ACTIN_MODIFICATION	Covalent modification of an actin molecule. [GOC:mah]
GO:0045010	M15725	GO	GOBP_ACTIN_NUCLEATION	The initial step in the formation of an actin filament, in which actin monomers combine to form a new filament. Nucleation is slow relative to the subsequent addition of more monomers to extend the filament. [ISBN:0815316194]
GO:0008154	M2403	GO	GOBP_ACTIN_POLYMERIZATION_OR_DEPOLYMERIZATION	Assembly or disassembly of actin filaments by the addition or removal of actin monomers from a filament. [GOC:mah]
GO:0001508	M8865	GO	GOBP_ACTION_POTENTIAL	A process in which membrane potential cycles through a depolarizing spike, triggered in response to depolarization above some threshold, followed by repolarization. This cycle is driven by the flow of ions through various voltage gated channels with different thresholds and ion specificities. [GOC:dph, GOC:go_curators, GOC:tb, ISBN:978-0-07-139011-8]
GO:0050798	M23912	GO	GOBP_ACTIVATED_T_CELL_PROLIFERATION	The expansion of a T cell population following activation by an antigenic stimulus. [GOC:add, GOC:dph]
GO:0007190	M2198	GO	GOBP_ACTIVATION_OF_ADENYLATE_CYCLASE_ACTIVITY	Any process that initiates the activity of the inactive enzyme adenylate cyclase. [GOC:ai]
GO:0090630	M10929	GO	GOBP_ACTIVATION_OF_GTPASE_ACTIVITY	Any process that initiates the activity of an inactive GTPase through the replacement of GDP by GTP. [GOC:dph, GOC:mah, GOC:tb]
GO:0002253	M19789	GO	GOBP_ACTIVATION_OF_IMMUNE_RESPONSE	Any process that initiates an immune response. [GO_REF:0000022, GOC:add, ISBN:0781735149]
GO:0002218	M15340	GO	GOBP_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE	Any process that initiates an innate immune response. Innate immune responses are defense responses mediated by germline encoded components that directly recognize components of potential pathogens. Examples of this process include activation of the hypersensitive response of Arabidopsis thaliana and activation of any NOD or TLR signaling pathway in vertebrate species. [GO_REF:0000022, GOC:add, GOC:mtg_sensu, ISBN:0781735149, PMID:15199967, PMID:16177805]
GO:0042976	M23572	GO	GOBP_ACTIVATION_OF_JANUS_KINASE_ACTIVITY	The process of introducing a phosphate group to a tyrosine residue of a JAK (Janus Activated Kinase) protein, thereby activating it. [GOC:jl, PMID:12479803]
GO:0090427	M42956	GO	GOBP_ACTIVATION_OF_MEIOSIS	Any process that starts the inactive process of meiosis. [GOC:dph, GOC:tb]
GO:0007202	M419	GO	GOBP_ACTIVATION_OF_PHOSPHOLIPASE_C_ACTIVITY	The initiation of the activity of the inactive enzyme phospolipase C as the result of The series of molecular signals generated as a consequence of a G protein-coupled receptor binding to its physiological ligand. [GOC:dph, GOC:mah, GOC:tb, PMID:8280098]
GO:0032147	M15758	GO	GOBP_ACTIVATION_OF_PROTEIN_KINASE_ACTIVITY	Any process that initiates the activity of an inactive protein kinase. [GOC:mah]
GO:0032148	M14938	GO	GOBP_ACTIVATION_OF_PROTEIN_KINASE_B_ACTIVITY	Any process that initiates the activity of the inactive enzyme protein kinase B. [GOC:pg]
GO:1990051	M34332	GO	GOBP_ACTIVATION_OF_PROTEIN_KINASE_C_ACTIVITY	Any process that initiates the activity of the inactive enzyme protein kinase C. [PMID:3156004]
GO:0007171	M16019	GO	GOBP_ACTIVATION_OF_TRANSMEMBRANE_RECEPTOR_PROTEIN_TYROSINE_KINASE_ACTIVITY	Any process that initiates the activity of the inactive transmembrane receptor protein tyrosine kinase activity. [GOC:dph, GOC:tb]
GO:0032924	M14587	GO	GOBP_ACTIVIN_RECEPTOR_SIGNALING_PATHWAY	The series of molecular signals initiated by an extracellular ligand binding to an activin receptor on the surface of a target cell, and ending with the regulation of a downstream cellular process, e.g. transcription. [GOC:rl, GOC:signaling]
GO:0044837	M23669	GO	GOBP_ACTOMYOSIN_CONTRACTILE_RING_ORGANIZATION	A process which results in the assembly, arrangement of constituent parts, or disassembly of an actomyosin contractile ring. [GOC:mtg_cell_cycle]
