"SYMBOL","logFC","AveExpr","t","P.value","adj.P.value","B","contrast","ensembleID"
"TSPAN6",-0.127733026207147,5.37058920533966,-0.592530868827835,0.564600438128136,0.705886443144315,-6.94149551726303,"HAEC-control","ENSG00000000003"
"DPM1",-0.278763292391307,4.83072764476548,-1.54990114823084,0.147376046301849,0.292332093880055,-5.91841639145969,"HAEC-control","ENSG00000000419"
"SCYL3",0.144333669966238,4.23998797247594,0.538886610990889,0.599915464923107,0.733156826123189,-6.86365017443705,"HAEC-control","ENSG00000000457"
"C1orf112",-0.773115919975193,3.07833188854868,-1.57068875681619,0.142486785598986,0.285839306381319,-5.54593411778923,"HAEC-control","ENSG00000000460"
"FUCA2",-0.681763487529906,5.93912342267278,-2.48431108559246,0.0289031509102824,0.099888622895305,-4.44520424521001,"HAEC-control","ENSG00000001036"
"GCLC",-0.0938043455041133,4.16931436969234,-0.408069329281163,0.69047937706578,0.802546440875367,-6.9033481165068,"HAEC-control","ENSG00000001084"
"NFYA",0.0267536722086135,5.13216875963725,0.149876010273139,0.883376183099306,0.929906316128508,-7.11347720617163,"HAEC-control","ENSG00000001167"
"STPG1",0.216945491579764,3.78524745333585,0.779618279776973,0.45086426301374,0.607603462792518,-6.62585988582214,"HAEC-control","ENSG00000001460"
"NIPAL3",-0.128051149028006,6.7718182559474,-0.342856029523484,0.737695427320176,0.835611531869616,-6.9969035680344,"HAEC-control","ENSG00000001461"
"LAS1L",0.0321929849617248,4.53849959634899,0.14473536018413,0.887345610138197,0.932526749580761,-7.05854248425027,"HAEC-control","ENSG00000001497"
"SEMA3F",-0.521048470607307,4.73668793420526,-2.16471705797114,0.0514915170838835,0.145651172756972,-4.97213655438025,"HAEC-control","ENSG00000001617"
"CFTR",8.29142579630651,-0.213863436461792,3.84460463107701,0.00237360039773322,0.0236862994706823,-1.25636771710355,"HAEC-control","ENSG00000001626"
"ANKIB1",-0.139517078254077,6.24785996343763,-0.568757167261039,0.580111376109899,0.717906255870439,-6.92906545575488,"HAEC-control","ENSG00000001629"
"CYP51A1",-1.67524505053732,5.13422838441975,-4.40709605407953,0.000874670528623029,0.0138657078815185,-0.908549894948433,"HAEC-control","ENSG00000001630"
"KRIT1",0.108687519743726,4.84907577217224,0.577421855068297,0.574432064838812,0.712972908513198,-6.92486975738314,"HAEC-control","ENSG00000001631"
"RAD52",1.24946157063727,3.5223639298469,4.41048915787882,0.000869516341240483,0.0138261970872964,-0.704851664745794,"HAEC-control","ENSG00000002016"
"BAD",0.283946748567031,4.90121695950654,1.80382329460316,0.0966494875442158,0.220285061342916,-5.55403524267624,"HAEC-control","ENSG00000002330"
"LAP3",-0.171182848496351,4.70665502991679,-0.418540296112898,0.683017112334486,0.797023787742121,-7.01658623753111,"HAEC-control","ENSG00000002549"
"CD99",-0.2708123179324,8.28906371523574,-1.01714916109314,0.329345081600675,0.494525381247189,-6.39540655006882,"HAEC-control","ENSG00000002586"
"HS3ST1",-1.93364709581889,0.614048720778259,-2.82778627024316,0.0153661901641102,0.0680826794554403,-3.13121252488316,"HAEC-control","ENSG00000002587"
"MAD1L1",-0.569022239966598,4.2287167620487,-1.93649456899012,0.076948263678716,0.189397454387129,-5.24853035377875,"HAEC-control","ENSG00000002822"
"LASP1",-0.974866721928539,8.58173746333957,-4.05522410445603,0.00162659834629531,0.0194380997165029,-1.37007801208659,"HAEC-control","ENSG00000002834"
"SNX11",-0.202245553658447,3.70227865333023,-0.753372410460524,0.465891127677116,0.62214976027546,-6.63638451711775,"HAEC-control","ENSG00000002919"
"M6PR",0.0475864828300177,6.44603545765119,0.191196359404051,0.851599576677617,0.911837623970662,-7.07095373157176,"HAEC-control","ENSG00000003056"
"CYP26B1",0.603870910262081,7.4186469354536,1.00939019917656,0.332899632133711,0.497704592491568,-6.50248282131718,"HAEC-control","ENSG00000003137"
"ICA1",-0.893364367023521,3.57242054250366,-2.64289156383978,0.0216105750926871,0.0830782355761275,-3.95426169440469,"HAEC-control","ENSG00000003147"
"DBNDD1",-4.05278472352096,-0.746162753624802,-2.00758631992258,0.0679782970538909,0.174543714448967,-4.16692702063854,"HAEC-control","ENSG00000003249"
"ALS2",-0.323052474626831,4.80045067636819,-2.13795488522896,0.0540044097293498,0.15027691371651,-5.0207871380544,"HAEC-control","ENSG00000003393"
"CASP10",1.3148342040529,1.21209363103065,1.85647177050298,0.0883390730609602,0.207036813883132,-4.74301100706839,"HAEC-control","ENSG00000003400"
"CFLAR",1.04930567528622,6.84315992048268,7.10364544113422,1.30913606470913e-05,0.00204682457138195,3.41603744541306,"HAEC-control","ENSG00000003402"
"TFPI",0.487229633546447,6.34163237970833,1.15001786720594,0.2727548414789,0.438405228959845,-6.44231512833325,"HAEC-control","ENSG00000003436"
"NDUFAF7",-0.00233381579277969,3.5092485297148,-0.00835639503221253,0.993471288258228,0.99622027573539,-6.87657295666836,"HAEC-control","ENSG00000003509"
"RBM5",0.649762636308923,7.07334908938249,2.10295026578553,0.0574657318474334,0.156553933457789,-5.031232517186,"HAEC-control","ENSG00000003756"
"MTMR7",0.139233712271697,0.260856736353266,0.369589844497009,0.718190336680089,0.821579798596816,-6.12183875316033,"HAEC-control","ENSG00000003987"
"SLC7A2",0.0567128007680706,2.35471313237281,0.0575362688967889,0.955074180285659,0.973694533947754,-6.55814179712965,"HAEC-control","ENSG00000003989"
"ARF5",0.187101857584038,6.89765402680644,1.10180912872354,0.292360846547471,0.458925061331249,-6.44861473469508,"HAEC-control","ENSG00000004059"
"SARM1",2.37705950898134,2.38016511494514,3.66914141597063,0.00326248094453786,0.0281190489816004,-1.78848415966051,"HAEC-control","ENSG00000004139"
