"",gene_symbol,GSM2691349,GSM2691350,GSM2691351,GSM2691352,GSM2691353,GSM2691354,GSM2691355,GSM2691356,GSM2691357,GSM2691358,GSM2691359,GSM2691360
ENSG00000000003,TSPAN6,1049.2285,641.4513,950.9839,740.0007,694.9426,634.5698,631.605,933.8926,777.2649,573.6963,867.9514,948.4454
ENSG00000000005,TNMD,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000000419,DPM1,459.9996,700.9986,658.9993,699.9996,511.9992,539.9992,339.9997,574.999,616.9998,404,467.9995,538.9998
ENSG00000000457,SCYL3,645.2985,279.728,269.6328,302.1992,437.6836,334.6808,389.0399,295.0966,417.6366,313.4368,316.6122,359.2963
ENSG00000000460,C1orf112,84.952,347.2721,156.4402,352.5615,169.9166,108.8199,85.7161,95.0257,376.6381,154.3407,99.301,161.5487
ENSG00000000938,FGR,3,7,3,1,4,4,0,0,4,5,4,1
ENSG00000000971,CFH,0,0,1,0,3,1,0,1,0,0,0,1
ENSG00000001036,FUCA2,1066.0011,2041.001,1771.001,1871.0019,1171.9928,1276.0005,677.9988,838.9999,1486.0019,1083.0007,697.0003,745.9909
ENSG00000001084,GCLC,357.022,366.9997,310.0338,330.0129,313.0002,293.9998,269.8726,326.0092,496.2145,492.9165,238.9998,322.9998
ENSG00000001167,NFYA,981.0018,600,759.001,696.9982,803.0002,691.0011,723.0005,655.0001,609.002,378,529.0017,624.0001
ENSG00000001460,STPG1,187.3868,256.1916,283.4533,314.0508,385.1624,408.0656,202.0372,193.2907,362.2055,182.0921,256.1065,189.9998
ENSG00000001461,NIPAL3,2577.0007,2756.0016,2323.0005,2645.9966,2235.81,3681.0083,1958.9486,1483.1895,1839.2281,618.8113,2394.9816,1841.0493
ENSG00000001497,LAS1L,304,609.0011,472.0001,531.0015,404.0009,335.0002,543.0015,551.0011,499.0017,348.0002,330.0003,412.0002
ENSG00000001561,ENPP4,0,15,5,17,0,3,0,0,0,0,2,0
ENSG00000001617,SEMA3F,920.0005,568.0006,752.0007,612.9988,457,469.0001,593.9999,352.0004,562.0004,411,295.0002,314.0001
ENSG00000001626,CFTR,2,0,0,0,105.0001,60,1469.9963,268.9999,127.9996,22.9999,13,9
ENSG00000001629,ANKIB1,1876.9978,1793.0006,1730.9963,1795.0005,2241.9968,1990.001,1030.1582,1223.0003,1323.9973,628,1056.9973,1297
ENSG00000001630,CYP51A1,555.6935,2015.8716,1074.1833,2163.8882,418.4838,321.7252,314.4382,458.15,698.0008,752.309,430.2816,554.9532
ENSG00000001631,KRIT1,693.8954,547.2803,488.2102,535.3595,726.957,640.236,395.5473,566.1104,648.2363,404.1976,426.1147,510.8805
ENSG00000002016,RAD52,210.7551,141.0612,99.2124,114.3185,296.6795,284.3933,339.2977,292.5354,270.7678,325.949,176.0629,213
ENSG00000002330,BAD,574.9994,507.9994,513.9997,513.9947,561.988,582.999,653.9994,622.999,730.9994,381.9955,608.9991,518.9992
ENSG00000002549,LAP3,608.0013,674.001,697.0013,717.9999,1276.0009,980.0003,285.9997,276.0003,391.0003,254.0002,294.0001,304.0001
ENSG00000002586,CD99,9675.0071,6039.0022,6743.9936,5969.0059,5762.0118,4127.0046,7526.0026,4907.0127,7399.0162,3295.9993,6431.9952,4904.003
ENSG00000002587,HS3ST1,25,100.9999,41.0335,228,36.0072,13,10.0045,17.0028,28.0059,18.0108,15.1938,16.0015
ENSG00000002726,AOC1,1,4,4,0,2,0,148,2,3,6,4,2
ENSG00000002745,WNT16,2,3,0,0,1,1,0,1,6,3,0,1
ENSG00000002746,HECW1,0,0,15,2,1.0051,1,3,0,0,4.5814,1,1.0056
ENSG00000002822,MAD1L1,197,579.0008,510.9988,547.9989,261.0002,279.0001,268.9998,271.9999,393.9999,312.9999,427.9988,374.0001
ENSG00000002834,LASP1,8491.0147,15599.1879,14807.0001,12162.0176,5310.589,7255.6303,6035.5879,5309.6105,5031.2305,3530.1753,5885.4552,5888.2628
ENSG00000002919,SNX11,156.0045,335.0003,345.0002,374.0005,328.0175,259.0001,209.2481,171.9998,251.0082,202.0292,213.0138,188.0001
ENSG00000002933,TMEM176A,4,1,0,0,0,1,2,1,1,1,3,0
ENSG00000003056,M6PR,1503.5229,2177.3734,1689.3539,2185.7985,1844.5227,1389.8977,2093.004,2011.6432,1550.4463,665.9671,1492.3883,1733.0917
ENSG00000003096,KLHL13,2,1,3,1,0,5,0,4,2,2,1,0
ENSG00000003137,CYP26B1,6286.0029,1244.9995,1844.0011,2855.9976,3895.9991,5527.9975,2937.9989,2770.9993,2525.9994,1298.9978,8220.9944,5840.0003
ENSG00000003147,ICA1,493.0003,329.045,270.0002,315.1681,263.6715,170.3128,122.823,157.0001,141.8236,108.5534,294.8808,258.5118
ENSG00000003249,DBNDD1,4,74,67.0001,43.17,5.0136,2.0113,0,1,36,415.1259,9,2.0047
ENSG00000003393,ALS2,531.4024,767.1781,572.5049,810.9999,575.0002,478.4206,431.9996,511.243,477.9021,395.1863,410.0002,442
ENSG00000003400,CASP10,7.5607,30.1479,31.2275,33.3395,55.847,69.6286,47.6525,44.2056,82.6533,223.71,28.183,34.3787
ENSG00000003402,CFLAR,1554.22,1508.3792,1538.359,1439.6073,3393.1148,2546.7628,3082.394,2819.0016,3226.0156,1586.4294,2024.1183,2350.5549
ENSG00000003436,TFPI,2640.5109,829.8809,749.3835,1232.2302,1785.3329,1485.2855,1292.178,1808.8257,2608.4134,3011.7814,1095.4404,1356.1947
ENSG00000003509,NDUFAF7,272.9106,199.808,237.6404,187.3227,238.2809,194.8967,198.1842,203.1201,210.0381,343.1438,172.2321,148.5773
ENSG00000003756,RBM5,2914.2114,1658.4779,2422.502,1588.1355,3049.9754,2038.9904,4349.0512,3290.9997,2403.8631,3427.0574,2186.3038,2160.9569
ENSG00000003987,MTMR7,13,19.4383,27,18,24,23,10,25,38,25.6163,22,33
ENSG00000003989,SLC7A2,132.0003,87.9999,51.6096,82.9999,195.0001,130.9997,81,21,202.0001,612.9993,82,24
ENSG00000004059,ARF5,2507.0104,1863.0041,2225.0066,1912.0045,2091.0055,2199.005,2228.005,2562.0111,2626.0094,1692.0038,2555.0124,2522.0045
ENSG00000004139,SARM1,48.8447,25.0502,54.2351,21.4058,174.3903,61.0769,216.5597,349.5559,169.6064,72.3639,171.6302,278.1066
ENSG00000004142,POLDIP2,1077.0001,1462.0021,1312.0009,1440.0005,1160.0019,1212.0006,1083.0005,1165.0004,1233.0005,984.0007,1060.0015,1114.9999
ENSG00000004399,PLXND1,507.9997,1738.0024,2130.9986,1614.9991,645.9997,1087.002,655,679.9994,649.0006,778.0012,1470.9994,757.0001
ENSG00000004455,AK2,832.0003,1683.185,1458.339,1677.9981,2114.9984,2007.9977,1581.0002,1791.9984,2207.9964,1681.9958,1474.9978,1678.9998
ENSG00000004468,CD38,2,1,7,2,3.0063,3.0055,1,4,1,2,4.0037,4.007
ENSG00000004478,FKBP4,1034.9982,2085.9988,1914.9998,1858.0014,940.9995,946.9991,1334.0012,1337.0013,1260.8996,909.4195,1000.9986,1006.0017
ENSG00000004487,KDM1A,1701.0009,2051.0018,1977.9979,2106.0013,1859.0017,1908.9987,2070,1988.0016,1983.0004,1486.0017,1758.0023,1771.0004
ENSG00000004534,RBM6,1782.0003,1400.4174,1813.9969,1596.4437,1745.0404,1211.0245,2462.9912,2298.3844,1857.3368,3548.3227,1686.999,1745.9625
ENSG00000004660,CAMKK1,194.0002,142.0128,127.9999,138.0058,50.0294,36.008,81.0001,45.0786,170.017,94.0182,150.0446,82.9999
ENSG00000004700,RECQL,643.1956,1449.4891,1079.2339,1446.2364,846.4392,1131.2278,519.8367,651.7895,808.9717,374.0861,709.1297,765.3514
ENSG00000004766,VPS50,253.9999,509.1163,439.9999,434.0392,422.9999,363.9999,224.3298,281,402.3012,241.4931,249.0001,278.0001
ENSG00000004776,HSPB6,769.0013,121.0002,495.0002,166.0009,338.0011,211.0003,2678.0058,812.002,349.9713,212.9534,703.0013,468.9967
ENSG00000004777,ARHGAP33,188.9998,175,166.9998,193,186.0001,179.9995,164.0001,124.2181,143.0001,185.0002,196.0001,157
ENSG00000004779,NDUFAB1,389.9995,806.0011,691.9984,754.0022,546.9994,598.9988,427.9994,604.9988,666.999,849.9988,460.9994,528.9995
ENSG00000004799,PDK4,0,0,0,0,0,1,0,11,2,10,39,46.0001
ENSG00000004809,SLC22A16,6,7,22,7,7,2,4,13,15,33,9,4
ENSG00000004838,ZMYND10,15,5,7.0033,6.0503,24.1832,20,16,15,21.0506,35,16,8.0014
ENSG00000004846,ABCB5,1.0199,2,2,1.0656,1,0,5.0102,10.3953,7,3.0051,1.001,1.0162
ENSG00000004848,ARX,0,0,0,0,2,1,0,0,1,5.0251,0,0
ENSG00000004864,SLC25A13,225,973.9997,893.9992,899.9986,242.0001,182,187.9999,226.0002,356.9998,358.9998,330,332.0001
ENSG00000004866,ST7,1197.1556,877.4328,714.1721,845.3952,1432.4808,2063.4195,1520.2757,1581.4294,1245.2141,683.1146,1157.8112,1170.2137
ENSG00000004897,CDC27,968.9998,2061.997,1483.0013,2093.0011,1341.0031,1285.6367,706.9686,981.0008,1051.9994,534.3716,915.8934,992.9976
ENSG00000004939,SLC4A1,1.1436,1,4,4.2629,5.8036,1,4.1277,1.4891,3.8026,8.1787,6.0345,4.0066
ENSG00000004948,CALCR,0,0,1,0,1,0,0,0,0,0,0,0
ENSG00000004961,HCCS,252,662.9988,571.9994,527.9997,322,263.0003,257.9999,298,323,155.0001,249.0001,272
ENSG00000004975,DVL2,955.0012,567,644.0009,564.9989,901.0076,794.9997,1089.9324,838.0019,993.0013,607.0003,691.9993,740.9993
ENSG00000005001,PRSS22,247.8876,86.7865,132.9356,70.9,88.4582,66.4322,328.6,118.1795,136.7337,78.4249,101.5789,38.9168
ENSG00000005007,UPF1,1537.997,1892.997,1875.0002,1962.9981,1612.0018,1506.0017,1650.9977,1430.0021,1716.9968,1175.0001,1170.9992,1268.9973
ENSG00000005020,SKAP2,511.1779,711.1392,516.9982,671.999,635.1712,614.9998,428.4582,584.1104,400.1549,201.07,491.0021,542.9988
ENSG00000005022,SLC25A5,2083.0038,3488.0076,1915.0034,3422.0082,1035.9995,1283.0031,969.9933,1196.9988,1384.0021,1395.0029,1095,1317.0033
ENSG00000005059,MCUB,58,327.9992,156.0001,322.0005,28.0001,28.9999,9,4,18,17,31,9
ENSG00000005073,HOXA11,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000005075,POLR2J,458.6519,501.777,517.7611,572.5918,475.3508,575.9587,629.8761,704.3002,885.0562,645.4933,630.1549,722.2605
ENSG00000005100,DHX33,423.1081,607.9999,519.1322,614,459.0758,370.0001,412.5248,499.2935,372.9404,481.9996,268.9996,357
ENSG00000005102,MEOX1,124.0002,47,37.0001,41.9999,0,1,0,0,0,0,0,0
ENSG00000005108,THSD7A,1,0,0,0,1,0,0,0,1,0,0,0
ENSG00000005156,LIG3,445.0593,580.7425,440.6866,596.9152,432.3073,395.2855,524.9548,501.3819,543.8945,358.9811,396.3746,424.9124
ENSG00000005175,RPAP3,315,612.0012,479.0007,567.0011,332,244.0001,191.0001,296.0003,370,150.0002,247.0002,312.0002
ENSG00000005187,ACSM3,103.3444,40,49.4381,36.0856,87.449,51.3373,157.1515,112.2771,67.8945,368.8387,62.3764,72.8058
ENSG00000005189,LOC81691,161.0001,87.9011,52.0058,122,96.0001,88.0001,90.0001,80.9999,106,103,101.9999,128.9999
ENSG00000005194,CIAPIN1,346.0002,841.0017,852.0007,733.0009,393.0003,386.0001,430.0001,533.0004,519.0003,463.0005,447.0009,480.0016
ENSG00000005206,SPPL2B,1171.0445,582.9997,881.0002,629.2267,1424.0499,956.0006,2758.0882,1918.0007,1733.0762,1520.998,1420.9989,1449.0002
ENSG00000005238,FAM214B,856.9998,1178.0009,1494.9974,1096.9993,1143.9992,1314.0005,1028.0001,684.9991,1241.9994,442.0001,1062.002,786.0001
ENSG00000005243,COPZ2,582.9993,349.9993,688.999,300.9998,812.9993,706.9988,897.9982,934.9991,1249.9978,477.9993,975.9982,1055.9976
ENSG00000005249,PRKAR2B,3,37,10,18,0,2,0,4,1,3,2,2
ENSG00000005302,MSL3,659.9995,455.0013,476.0001,447.001,564.001,473.9993,592.7568,560.8887,480.9993,240,447.001,525.7719
ENSG00000005339,CREBBP,2561.0225,1490.8059,1292.3214,1680.4077,1428.0687,1004.0015,1406.0074,1214.071,1287.2126,632,1028.3589,1009.0247
ENSG00000005379,TSPOAP1,503.0002,25,27.0072,35,371.0018,232.0021,456.6721,519.0004,438.1312,423.5244,329.1066,447.655
ENSG00000005381,MPO,0,0,1,0,0,0,0,0,0,1,0,1
ENSG00000005421,PON1,0,0,0,0,5,1,3.0015,3,7,7,1,0
ENSG00000005436,GCFC2,319,185.6109,142.8353,212.9205,203.8314,143.4084,194.0124,201.3429,212.016,244.0003,187.8975,208
ENSG00000005448,WDR54,209,402.0001,416.0002,408.0238,541.1769,816.8816,336.3618,390.2763,575.9316,440.1296,448.9998,375.001
ENSG00000005469,CROT,550.0009,550.0007,459.9991,646.0007,952.9996,1819.0015,431.0012,1401.9995,848.0009,440.0003,518.0004,1419.0003
ENSG00000005471,ABCB4,1,0,0,0,2,2,0,1,5,39.7703,0,2
ENSG00000005483,KMT2E,2081.0025,1211.9988,1073.999,1319.9994,1929.9986,1806.002,1136.9954,1195.9979,1528.9994,741.5506,871.9996,969.9998
ENSG00000005486,RHBDD2,1175.0017,706.0013,1059.0027,770.0019,1103.0018,629.0002,1614.0024,1519.0034,1569.0027,945.0022,1073.0011,1106.002
ENSG00000005513,SOX8,2,1,2,0,1,1,9,3,1,10,7,6
ENSG00000005700,IBTK,523.4999,733.7721,586.0074,804.5146,591.0112,618.4994,336.0002,425.0001,476.0703,293.8772,364.5003,429.5001
ENSG00000005801,ZNF195,298.8466,461.0001,418.1803,471.9999,265.8153,127.1847,188.327,215.8878,349,515.8433,361.0003,322.5349
ENSG00000005810,MYCBP2,951.7549,1216.9992,1040,1554.9998,1658.8496,1138.7582,877.3418,776.6156,667.9804,312.0002,570.5216,661.9153
ENSG00000005812,FBXL3,1840.1199,1279.2856,1116.6345,1228.9225,1462.2769,1281.9186,745.0523,1169.1386,1360.5546,341.6112,986.3801,1284.7924
ENSG00000005844,ITGAL,0,1.373,1,2.0436,3.0214,0,2.3303,1.2093,1.2207,48.2351,0,0
ENSG00000005882,PDK2,1355.9999,368,546,392.0001,666.9997,595,621.238,599.0009,676.0002,369.0003,571.9992,546.9997
ENSG00000005884,ITGA3,1589.0064,15061.5788,11666.0768,17830.7302,1876.1639,2989.9992,676.4129,645.0441,922.9971,723.185,1063.1191,726.8991
ENSG00000005889,ZFX,805.9995,686.9996,448.5485,758.6471,762.5599,726.042,384.035,751.9998,1020.9988,446.9997,335.0163,684.9996
ENSG00000005893,LAMP2,4470.9167,3855.3149,3754.8278,4177.0006,4507.5805,3249.8746,2538.6938,2924.0024,3897.2612,1200.585,2914.9971,2903.3863
ENSG00000005961,ITGA2B,24.0028,5,7.0315,15,20,25,22.0115,18,14,67.1628,18,18
ENSG00000005981,ASB4,3,4,4,4,6,2.0026,16,11,11,7,5,4
ENSG00000006007,GDE1,1536.9995,1891.0011,1693.9993,2200.9999,1630.816,1718.0012,861.9118,1077.002,1582.9998,810.9295,1103.0016,1096.9991
ENSG00000006015,C19orf60,191.9996,288.9358,367.5754,336.0178,405.3776,498.3441,508.0929,534.3474,587.9994,509.186,529.2016,481.3847
ENSG00000006016,CRLF1,69.9999,30.0001,161,49.0001,118.0085,42,63,63,252.4849,762.9995,46.9999,28.2201
ENSG00000006025,OSBPL7,533.9993,306.9999,400.9998,299.9998,735.0009,469.9998,1009.9976,778.0017,555.9998,660.0002,635.9995,637.9986
ENSG00000006042,TMEM98,196.1748,150,313.0263,174.0429,202.0175,153.0976,269,459.3906,198.1029,338.04,206.921,455.1168
ENSG00000006047,YBX2,30,17,11,40,6,1,6,4,3,15,5,4
ENSG00000006059,KRT33A,0,0.5454,0.5001,0.617,0,0.5,0,0,0,0,0,0
ENSG00000006062,MAP3K14,1038.9579,458.959,284.8164,707.0019,827.8792,404.6998,727.3383,483.5992,534.9773,397.9395,704.8016,744.7882
ENSG00000006071,ABCC8,0,0,0,0,0,0,0,1,1,0,0,0
ENSG00000006116,CACNG3,0,0,0,0,1,0,0,0,0,0,0,0
ENSG00000006118,TMEM132A,2205.9973,1971.2732,3878.9961,2069.0019,2116.9982,2159.0019,3196.0005,2013.0016,2051.0007,997.9999,2864.9992,1899.0025
ENSG00000006125,AP2B1,6769.9947,7761.9985,5799.9994,7732.0255,5809.9762,8386.9922,4465.9957,3899.0003,3703.9975,1475.9946,4281.0006,4213.9975
ENSG00000006128,TAC1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000006194,ZNF263,548.3448,324.7955,429.2545,310.4814,522.0002,459.3854,726.0002,590.1361,636.4151,520.276,404.616,490.1797
ENSG00000006210,CX3CL1,138.0397,6,0,4,58.9998,7.0105,11.7966,6.0098,56,457.0242,10,12.0029
ENSG00000006282,SPATA20,1013.0009,981.9988,1306.9997,1038.0006,1181.0002,792.0005,1468.9275,1507.9999,1128.9993,1719.3243,1417.0002,1408.9994
ENSG00000006283,CACNA1G,2,1,2,1,4.0123,2,2,2,2,9,1,2
ENSG00000006327,TNFRSF12A,1339.9984,4019.9964,4777.9976,3925.0045,1646.9965,1503.0025,2045.9916,2094.9921,3959.0058,2222.9966,3754.001,3115.9996
ENSG00000006377,DLX6,0,0,1,0,0,0,0,0,3,21,0,1
ENSG00000006432,MAP3K9,232,695.9994,709.2396,606.3441,297.1333,389.2402,194.0983,205.1993,235.4278,217.5681,242.0331,255.2711
ENSG00000006451,RALA,783.0006,1380.0012,1433.9996,1100.6735,850.9998,883.0001,534.9985,770.7454,903.0021,579.0004,709.9987,828.0018
ENSG00000006453,BAIAP2L1,1741.8081,1894.2282,1978.976,1988.8333,1546.9664,1807.4379,1328.2379,1339.0812,1488.1071,1225.3332,1534.8666,1312.7438
ENSG00000006459,KDM7A,506.9993,196.9997,260,210.9994,388.9997,213.9999,267.9999,291.9999,430.0001,249.0004,261.9998,246.0002
ENSG00000006468,ETV1,12,101.0001,80.9999,156.9998,15,6,5,11,8,0,1,17
ENSG00000006530,AGK,175.8379,329.0406,290.4717,266.9764,227.7194,181.0532,187.5984,158.1319,259.8773,155.2781,172.873,222.9295
ENSG00000006534,ALDH3B1,368.9454,238.1732,340.1448,212.4345,489.7162,701.9021,962.2231,728.0002,564.0132,243.3511,698.4969,536.5886
ENSG00000006555,TTC22,230,207.3143,244.9456,226.8675,379.2381,294.717,221.8735,268.125,344.0239,128.302,292.8144,319.4224
ENSG00000006576,PHTF2,1009.1027,962.3673,894.9971,1014.9978,495,567.9999,241.0226,472.0972,409,161.0045,438.0003,462.0002
ENSG00000006606,CCL26,0,0,0,0,0,0,0,0,0,6,0,0
ENSG00000006607,FARP2,574.0215,887.3429,841.8131,1011.0327,627.7696,453.6326,664.719,634.7305,577.5762,475.5258,614.4791,628.9478
ENSG00000006611,USH1C,0,0,0,0,0,0,0,0,0,4,0,0
ENSG00000006625,GGCT,327.8956,673.9024,466.9948,770.9626,349.0742,259.5562,313.8794,399.6199,472.9742,260.8135,303.9591,321.937
ENSG00000006634,DBF4,78.9999,318.6816,149.5764,407.7904,41.0001,36.0001,27,48.0012,72.7563,65.0001,43.0001,79
ENSG00000006638,TBXA2R,8.0018,32.903,52.8901,30,71.3414,45.3252,18.0406,15.2338,43.3649,16.914,21.223,17
ENSG00000006652,IFRD1,860.0254,498.0012,502.4789,533.7211,908.0003,436.9997,938.0071,1545.762,1302.0214,622.0002,1028.0006,1230.0011
ENSG00000006659,LGALS14,1,1,2,2.267,2.2332,0,1.1827,2.1689,4.3139,7.3144,2.3767,1
ENSG00000006695,COX10,246,264.9077,260.8738,309.6812,256.8733,214.6215,234.4675,223.7674,248.6198,146.1446,221,239.0002
ENSG00000006704,GTF2IRD1,475.0784,350.9999,435.6304,349.8305,475.7745,292.075,561.9243,531.1147,554.2135,555.0945,285.148,308.0001
ENSG00000006712,PAF1,891.0006,1053.0013,869.0008,997.0002,824.0012,867.9998,716.0001,791,1109.001,690.9998,662.0002,671.0007
